scope,encoder,projection_seed,target_domain,readout,metric,shortlist_size,overlap_count,union_size,jaccard,mmd_missed_top_q,a_missed_top_q,a_rescued_top_q,mmd_rescued_top_q,a_rescued_fractional_top_q,mmd_rescued_fractional_top_q,omission_reduction_from_union,a_only_better_than_mmd_choice,top_q_boundary_ties,has_a_rescue,has_mmd_rescue,a_rescues_any_oracle,mmd_rescues_any_oracle,union_selects_a_only,union_better_than_mmd,union_worse_than_mmd,union_better_than_matched_mmd,union_worse_than_matched_mmd,a_rescue_reaches_final_improvement,a_only_top_q,mmd_only_top_q,mmd_choice,union_choice
base_seed_control,resnet50,20260911,clipart,ridge,brier_score,10,2,18,0.1111111111111111,9,10,0,1,0.0,1.0,0.0,0,1,False,True,False,False,False,False,False,True,False,False,[],"[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]",infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low,infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,brier_score,25,9,41,0.21951219512195122,8,6,3,1,3.0,1.0,0.00011745064126222893,1,1,True,True,True,False,True,True,False,True,False,True,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle"", ""real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low"", ""real__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_middle""]","[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]",painting__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,brier_score,50,27,73,0.3698630136986301,5,5,2,2,2.0,2.0,1.4487009605712586e-05,1,1,True,True,True,False,True,True,False,True,False,True,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle"", ""real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]","[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low"", ""infograph__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low""]",real__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_low,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,brier_score,100,73,127,0.5748031496062992,2,4,1,3,1.0,3.0,0.0,0,1,True,True,False,False,False,False,False,False,False,False,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle""]","[""infograph__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low"", ""real__clip_pc1_low|sketch__clip_pc1_high|sketch__clip_pc1_low"", ""real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle""]",real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle,real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle
base_seed_control,resnet50,20260911,clipart,ridge,brier_score,227,210,244,0.860655737704918,1,1,0,0,0.0,0.0,0.0,0,1,False,False,False,False,False,False,False,False,False,False,[],[],real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle,real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle
base_seed_control,resnet50,20260911,clipart,ridge,nll,10,2,18,0.1111111111111111,9,10,0,1,0.0,1.0,0.0,0,1,False,True,False,False,False,False,False,False,True,False,[],"[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]",infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low,infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,nll,25,9,41,0.21951219512195122,8,6,3,1,3.0,1.0,0.005050165488598601,1,1,True,True,True,False,True,True,False,True,False,True,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle"", ""real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low"", ""real__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_middle""]","[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]",painting__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,nll,50,27,73,0.3698630136986301,5,5,2,2,2.0,2.0,0.0010242359621477348,1,1,True,True,True,False,True,True,False,True,False,True,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle"", ""real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low""]","[""infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low"", ""infograph__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low""]",real__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_low,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
base_seed_control,resnet50,20260911,clipart,ridge,nll,100,73,127,0.5748031496062992,2,4,1,3,1.0,3.0,0.0,0,1,True,True,False,False,False,False,False,False,False,False,"[""real__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle""]","[""infograph__clip_pc1_middle|real__clip_pc1_low|sketch__clip_pc1_low"", ""real__clip_pc1_low|sketch__clip_pc1_high|sketch__clip_pc1_low"", ""real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle""]",real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle,real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle
base_seed_control,resnet50,20260911,clipart,ridge,nll,227,210,244,0.860655737704918,1,1,0,0,0.0,0.0,0.0,0,1,False,False,False,False,False,False,False,False,False,False,[],[],real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle,real__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle
